cbsa_code,cbsa_name,finance,information,logistics,manufacturing,professional_services,demand_index,primary_city,state,cbsa_name_u,is_candidate
39100,"Poughkeepsie-Newburgh-Middletown, NY",5827,3298,10379,15786,10689,12148.600000000002,Poughkeepsie,NY,"POUGHKEEPSIE-NEWBURGH-MIDDLETOWN, NY",False
39140,"Prescott, AZ",1128,585,1579,3257,2422,2373.7000000000003,Prescott,AZ,"PRESCOTT, AZ",False
39220,"Price, UT",149,76,386,508,131,360.09999999999997,Price,UT,"PRICE, UT",False
39260,"Prineville, OR",107,101,598,1253,138,718.9000000000001,Prineville,OR,"PRINEVILLE, OR",False
39300,"Providence-New Bedford-Fall River, RI-MA",34445,8495,22084,62286,28990,40782.100000000006,Providence,RI-MA,"PROVIDENCE-NEW BEDFORD-FALL RIVER, RI-MA",False
39340,"Provo-Orem, UT",9696,20496,4921,22763,27924,17135.899999999998,Provo,UT,"PROVO-OREM, UT",False
39380,"Pueblo, CO",1168,1029,1902,5134,2515,3244.0,Pueblo,CO,"PUEBLO, CO",False
39420,"Pullman, WA",228,133,264,2579,530,1239.6000000000001,Pullman,WA,"PULLMAN, WA",False
39460,"Punta Gorda, FL",1039,412,1148,549,1688,1005.5,Punta Gorda,FL,"PUNTA GORDA, FL",False
39500,"Quincy, IL-MO",1381,404,1387,5609,735,2944.7999999999997,Quincy,IL-MO,"QUINCY, IL-MO",False
39540,"Racine, WI",1653,621,3325,16801,2156,8314.4,Racine,WI,"RACINE, WI",False
39580,"Raleigh-Cary, NC",29746,28887,13890,26840,71588,32195.199999999997,Raleigh,NC,"RALEIGH-CARY, NC",False
39660,"Rapid City, SD",2055,965,1799,2915,2161,2343.3999999999996,Rapid City,SD,"RAPID CITY, SD",False
39700,"Raymondville, TX",72,150,28,0,37,23.0,Raymondville,TX,"RAYMONDVILLE, TX",False
39740,"Reading, PA",5375,1284,7658,30115,5927,16066.3,Reading,PA,"READING, PA",False
39780,"Red Bluff, CA",163,120,1862,1733,302,1328.5000000000002,Red Bluff,CA,"RED BLUFF, CA",False
39820,"Redding, CA",2027,643,1561,2061,2667,2028.8,Redding,CA,"REDDING, CA",False
39860,"Red Wing, MN",401,225,480,4227,385,1951.9,Red Wing,MN,"RED WING, MN",False
39900,"Reno-Sparks, NV",5467,4700,16206,26276,12621,18443.100000000002,Reno,NV,"RENO-SPARKS, NV",False
39940,"Rexburg, ID",401,127,813,1330,951,1006.2,Rexburg,ID,"REXBURG, ID",False
39980,"Richmond, IN",659,139,640,5982,314,2713.5000000000005,Richmond,IN,"RICHMOND, IN",False
40060,"Richmond, VA",50194,9830,30883,33819,42525,36316.9,Richmond,VA,"RICHMOND, VA",False
40080,"Richmond-Berea, KY",671,882,360,4922,1364,2416.7000000000003,Richmond,KY,"RICHMOND-BEREA, KY",False
40100,"Rio Grande City-Roma, TX",269,51,275,29,136,148.2,Rio Grande City,TX,"RIO GRANDE CITY-ROMA, TX",False
40140,"Riverside-San Bernardino-Ontario, CA",27063,15865,158594,103900,41606,100165.7,Riverside,CA,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA",True
40180,"Riverton, WY",327,185,266,386,447,356.3,Riverton,WY,"RIVERTON, WY",False
40220,"Roanoke, VA",7850,1436,7009,16570,5648,10645.300000000001,Roanoke,VA,"ROANOKE, VA",False
40260,"Roanoke Rapids, NC",281,147,1399,2477,201,1478.8,Roanoke Rapids,NC,"ROANOKE RAPIDS, NC",False
40300,"Rochelle, IL",450,104,1875,2879,214,1801.9,Rochelle,IL,"ROCHELLE, IL",False
40340,"Rochester, MN",1935,1665,2326,6182,39679,11299.900000000001,Rochester,MN,"ROCHESTER, MN",False
40380,"Rochester, NY",13790,9562,11292,54172,27740,31983.4,Rochester,NY,"ROCHESTER, NY",False
40420,"Rockford, IL",3253,1202,8296,31736,4141,16336.7,Rockford,IL,"ROCKFORD, IL",False
40460,"Rockingham, NC",197,46,178,3447,142,1480.3000000000004,Rockingham,NC,"ROCKINGHAM, NC",False
40500,"Rockland, ME",770,244,306,1575,500,898.8,Rockland,ME,"ROCKLAND, ME",False
40540,"Rock Springs, WY",283,147,946,1701,402,1072.9,Rock Springs,WY,"ROCK SPRINGS, WY",False
40580,"Rocky Mount, NC",2079,307,3215,10924,1283,5798.6,Rocky Mount,NC,"ROCKY MOUNT, NC",False
40620,"Rolla, MO",413,113,1705,1464,328,1203.9999999999998,Rolla,MO,"ROLLA, MO",False
