rank_border_flo,rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,manufacturing,logistics,information,finance,professional_services,demand_index,demand_norm,enterprise_fit,cloud_adjacency,resilience,capex_friction,score_baseline,score_flo,is_candidate
67,285,394,36220,"Odessa, TX",Odessa,TX,3591,2864,528,1370,1402,2713.0,0.006178963454761833,3300.2,528,0.7349825727767516,9.18563775933581,0.006178963454761833,0.08044975215702432,False
68,291,172,32580,"McAllen-Edinburg-Mission, TX",McAllen,TX,6954,8820,4299,6837,6724,7456.1,0.017073923143342076,7700.4,4299,0.7908601036360301,10.423322470459706,0.017073923143342076,0.07977205978568641,True
69,297,485,31260,"Lufkin, TX",Lufkin,TX,3144,1370,354,760,1376,2019.8,0.004586674433631386,2434.3999999999996,354,0.7073156531912416,8.854379458771108,0.004586674433631386,0.0790905949299064,False
70,299,229,28660,"Killeen-Temple-Fort Hood, TX",Killeen,TX,7407,3681,2299,3890,4520,5360.1,0.012259385075988618,5916.6,2299,0.770029060834306,9.989573501449257,0.012259385075988618,0.0789313937627799,False
71,309,321,33260,"Midland, TX",Midland,TX,2812,5112,841,2042,3283,3519.2,0.008030814881241011,3732.0,841,0.7496826796811131,9.553291574695105,0.008030814881241011,0.07849436287319218,False
72,310,795,26660,"Huntsville, TX",Huntsville,TX,1313,138,121,403,379,682.6999999999999,0.0015153391045005134,843.0,121,0.6275787195676983,7.764296006450518,0.0015153391045005134,0.07846989056254265,False
73,311,109,21340,"El Paso, TX",El Paso,TX,15645,16430,6531,7885,9001,13775.7,0.03159012293840263,15959.0,6531,0.7724995965268214,10.924012165653831,0.03159012293840263,0.07819521709091315,True
74,329,395,48660,"Wichita Falls, TX",Wichita Falls,TX,4417,1781,828,1774,1156,2709.7000000000003,0.006171383313720676,3362.6,828,0.7190243943580763,9.206031100388085,0.006171383313720676,0.07707240773730034,False
75,330,94,46060,"Tucson, AZ",Tucson,AZ,22016,12004,6176,13633,19226,17616.1,0.04041156950036075,18011.2,6176,0.7709511994260144,11.198981549329522,0.04041156950036075,0.07703163778359289,True
76,337,359,17020,"Chico, CA",Chico,CA,4866,1267,871,2142,2335,3007.7,0.006855893019861578,3426.4,871,0.7262623854952004,9.348535870727583,0.006855893019861578,0.07651576404640925,False
77,343,231,17780,"College Station-Bryan, TX",College Station,TX,7461,4079,1789,2244,4477,5327.9,0.012185421275526413,6108.2,1789,0.7497917351260254,9.906034306802704,0.012185421275526413,0.07594405941073643,False
78,355,755,20900,"El Campo, TX",El Campo,TX,1547,393,84,407,295,836.4000000000001,0.0018683899160235227,1085.3999999999999,84,0.622209758048498,7.910957382845589,0.0018683899160235227,0.07523011075433197,False
79,363,335,45500,"Texarkana, TX-Texarkana, AR",Texarkana,TX-Texarkana,5027,2429,513,1590,1983,3295.1,0.007516054394173306,3987.7999999999997,513,0.7155459837923717,9.353834471614912,0.007516054394173306,0.07455065657928825,False
80,374,79,23420,"Fresno, CA",Fresno,CA,26241,19899,3687,9008,12364,19839.7,0.04551920635463897,23704.199999999997,3687,0.7372087977756112,11.173248097400068,0.04551920635463897,0.07384153261975919,False
81,385,173,18580,"Corpus Christi, TX",Corpus Christi,TX,9711,5033,1550,4861,7550,7390.400000000001,0.016923009426249937,7839.799999999999,1550,0.7540357014201943,10.264861439131325,0.016923009426249937,0.07327203692207136,False
82,386,766,38380,"Plainview, TX",Plainview,TX,661,1527,88,233,215,788.8,0.001759052124035915,1007.4000000000001,88,0.6122857463219201,7.9102237070973445,0.001759052124035915,0.07314473585905713,False
83,390,385,49740,"Yuma, AZ",Yuma,AZ,4530,2027,537,1226,1299,2802.5,0.006384546067847776,3528.8,537,0.6962072295124133,9.171599543659752,0.006384546067847776,0.07296511581791801,False
84,395,719,43420,"Sierra Vista-Douglas, AZ",Sierra Vista,AZ,553,784,311,440,2451,990.6,0.0022225892337648886,645.4000000000001,311,0.6496454487293085,8.420682291035394,0.0022225892337648886,0.0725957094078711,False
85,399,244,42020,"San Luis Obispo-Paso Robles, CA",San Luis Obispo,CA,7475,1761,2504,2062,5784,4881.3,0.011159575521289745,5189.4,2504,0.731620950072088,9.882621359854744,0.011159575521289745,0.07220828055143812,False
86,402,193,46340,"Tyler, TX",Tyler,TX,9309,4140,1563,3129,5089,6296.3,0.014409848119240674,7241.4,1563,0.7369904392411952,10.053242872620965,0.014409848119240674,0.07212938870242246,False
87,404,127,12540,"Bakersfield-Delano, CA",Bakersfield,CA,13605,13545,2579,4831,8963,11781.2,0.027008731633375686,13581.0,2579,0.7471886844653565,10.681067789070903,0.027008731633375686,0.07198130308123254,False
88,408,296,42100,"Santa Cruz-Watsonville, CA",Santa Cruz,CA,5109,1656,775,2391,5630,3905.5,0.008918150785543798,3727.8,775,0.7238898179407347,9.652587324176876,0.008918150785543798,0.07186067228060186,False
89,413,148,42060,"Santa Barbara-Santa Maria-Goleta, CA",Santa Barbara,CA,13078,3479,6693,4158,12440,9178.7,0.021030756766826364,9238.4,6693,0.7481040166545743,10.592852589800613,0.021030756766826364,0.0717417611005423,False
90,445,631,39780,"Red Bluff, CA",Red Bluff,CA,1733,1862,120,163,302,1328.5000000000002,0.002998749736130697,1784.6,120,0.6221179689109682,8.338305731356565,0.002998749736130697,0.06906982218769325,False
91,447,89,37100,"Oxnard-Thousand Oaks-Ventura, CA",Oxnard,CA,26154,7754,4450,10903,22797,18437.5,0.042298335515877986,18794.0,4450,0.7298841755469647,11.18524050688134,0.042298335515877986,0.06889090893167775,False
92,453,617,46380,"Ukiah, CA",Ukiah,CA,2608,545,284,446,699,1391.1,0.00314254271466902,1782.8,284,0.6252933832328541,8.430109084509125,0.00314254271466902,0.0683732715366065,False
93,463,170,46700,"Vallejo-Fairfield, CA",Vallejo,CA,10695,7227,998,3066,4207,7594.1,0.017390910859608668,9307.8,998,0.7161997450216866,10.173285655889348,0.017390910859608668,0.06767611570690936,False
94,466,186,11100,"Amarillo, TX",Amarillo,TX,10831,3915,1467,5101,3197,6656.4000000000015,0.015237002297701545,8064.599999999999,1467,0.7153229327533046,10.106918072540317,0.015237002297701545,0.0674981593609548,False
95,473,201,41500,"Salinas, CA",Salinas,CA,8411,3114,1341,2254,8219,6167.8,0.014114682021122869,6292.2,1341,0.7156781006713124,10.057923905840546,0.014114682021122869,0.06696379081926448,False
96,474,630,37300,"Palestine, TX",Palestine,TX,1436,2224,80,267,309,1330.1,0.0030024249560294393,1751.2,80,0.614478338247837,8.370315995555478,0.0030024249560294393,0.06695563956527303,False
97,487,635,44500,"Stephenville, TX",Stephenville,TX,2360,730,92,306,557,1305.0,0.0029447699438679073,1708.0,92,0.6018311303154713,8.305484017727691,0.0029447699438679073,0.0653881630063638,False
98,489,847,45020,"Sweetwater, TX",Sweetwater,TX,998,255,35,114,119,510.9,0.0011207123678729735,700.8,35,0.5290949715164555,7.3277805384216315,0.0011207123678729735,0.06518349448268365,False
99,500,91,10740,"Albuquerque, NM",Albuquerque,NM,17621,8891,5254,14513,33465,17860.0,0.0409718108336754,14129.0,5254,0.7251677264819654,11.286589322756855,0.0409718108336754,0.06375965573173298,False
100,502,406,25260,"Hanford-Corcoran, CA",Hanford,CA,4345,1640,264,494,1373,2554.0,0.005813738477324238,3263.0,264,0.6391728815856623,9.001715906761175,0.005813738477324238,0.06360045782070993,False
101,510,845,14300,"Bonham, TX",Bonham,TX,1088,94,83,201,167,516.9,0.00113449444249326,690.4,83,0.5245943565222642,7.3987862754199485,0.00113449444249326,0.06314689961395814,False
102,522,117,42220,"Santa Rosa-Petaluma, CA",Santa Rosa,CA,21677,5231,2765,6319,9442,12760.4,0.029257966211406458,15098.599999999999,2765,0.6928751144903419,10.724038012129448,0.029257966211406458,0.061842724871709956,False
103,526,696,11980,"Athens, TX",Athens,TX,2162,155,175,423,602,1074.0,0.0024141600709868725,1359.2,175,0.5739264399109762,8.165647925297504,0.0024141600709868725,0.06164816975366458,False
104,530,365,47020,"Victoria, TX",Victoria,TX,5331,1413,420,984,1542,2963.1000000000004,0.006753446265184115,3763.8,420,0.6385520804378457,9.17895289873455,0.006753446265184115,0.06126659574387945,False
105,534,474,23620,"Gainesville, TX",Gainesville,TX,3216,2292,107,474,286,2078.6,0.004721738764910195,2846.4,107,0.6084252887351019,8.760296220470051,0.004721738764910195,0.06057476297312571,False
106,561,816,13060,"Bay City, TX",Bay City,TX,1316,141,107,191,185,624.8,0.0013823420844147477,846.0,107,0.5127293017323838,7.57095858316901,0.0013823420844147477,0.058126509059236726,False
107,570,868,46900,"Vernon, TX",Vernon,TX,963,106,107,155,43,441.1000000000001,0.000960380899790306,620.1999999999999,107,0.48305503115670734,7.226209010100671,0.000960380899790306,0.05738341569870975,False
108,573,444,32220,"Marshall, TX",Marshall,TX,4161,1149,183,761,776,2240.4,0.005093395377170591,2956.2,183,0.598370163230536,8.858084222199162,0.005093395377170591,0.057164328255565645,False
109,578,190,30980,"Longview, TX",Longview,TX,11663,2965,827,3090,3485,6560.7,0.01501717820750797,8183.8,827,0.655497943731663,10.000205831412565,0.01501717820750797,0.05665481245610576,False
110,596,78,44700,"Stockton, CA",Stockton,CA,19398,34643,1776,6344,5625,19911.5,0.045684131847595066,25496.0,1776,0.6405915323154618,11.124125715130965,0.045684131847595066,0.054885528013690135,False
111,597,125,33700,"Modesto, CA",Modesto,CA,20180,7619,1206,3385,6139,11924.0,0.027336745009338505,15155.6,1206,0.65248423138612,10.559192437620203,0.027336745009338505,0.054825545959952024,False
112,613,162,47300,"Visalia-Porterville, CA",Visalia,CA,13935,6715,989,2410,2383,8306.1,0.019026383714549348,11047.0,989,0.6396763255449408,10.18236850853484,0.019026383714549348,0.05338326143557713,False
113,615,507,31460,"Madera-Chowchilla, CA",Madera,CA,3767,742,425,427,623,1896.7,0.004303912202671839,2557.0,425,0.5673641296576968,8.697011617992073,0.004303912202671839,0.053120140278833404,False
114,625,780,35700,"Nogales, AZ",Nogales,AZ,413,1724,85,144,177,732.1999999999999,0.001629041220117878,937.4,85,0.50485390953152,7.841492924460013,0.001629041220117878,0.05227084835920502,False
115,634,152,47380,"Waco, TX",Waco,TX,16122,4461,890,5204,2739,8855.3,0.020287902944792914,11457.599999999999,890,0.6357392149074184,10.289328017507993,0.020287902944792914,0.05140622604973165,False
116,645,627,44860,"Sulphur Springs, TX",Sulphur Springs,TX,2713,520,120,547,224,1340.7,0.0030267732878586128,1835.8,120,0.5299360700910005,8.324821298768782,0.0030267732878586128,0.05053080827993043,False
117,666,614,14780,"Brenham, TX",Brenham,TX,2949,203,127,806,379,1396.9,0.003155865386801964,1850.6,127,0.5208975668349584,8.4040244933106,0.003155865386801964,0.04746194580785584,False
118,668,134,13140,"Beaumont-Port Arthur, TX",Beaumont,TX,19918,4442,1015,3397,5963,10832.100000000002,0.024828637129690016,13727.599999999999,1015,0.6149378341336964,10.455531892118072,0.024828637129690016,0.04718439646488905,False
119,680,794,14420,"Borger, TX",Borger,TX,1480,87,42,218,220,683.9,0.0015180955194245708,922.8,42,0.4521378289245238,7.6246189861593985,0.0015180955194245708,0.04495443558646382,False
120,701,302,43300,"Sherman-Denison, TX",Sherman,TX,7647,1257,676,1060,1182,3778.3,0.008625970803593723,5091.0,676,0.5489803912264142,9.377802065863113,0.008625970803593723,0.04124740773465123,False
121,706,568,18620,"Corsicana, TX",Corsicana,TX,3262,615,168,353,302,1585.0000000000002,0.00358793342614795,2203.2,168,0.49013553644182895,8.45553053102413,0.00358793342614795,0.04070954203526871,False
122,715,272,32900,"Merced, CA",Merced,CA,8421,2374,359,1072,958,4379.4,0.010006704979302769,6002.2,359,0.5469686037319434,9.486835098787386,0.010006704979302769,0.03981888095911246,False
123,744,555,34860,"Nacogdoches, TX",Nacogdoches,TX,3507,284,95,578,456,1637.0000000000002,0.0037073780728571004,2217.7999999999997,95,0.465812760261749,8.501267040865978,0.0037073780728571004,0.035015292943909294,False
124,747,917,37780,"Pecos, TX",Pecos,TX,30,762,49,41,67,258.1,0.000540027623871564,322.8,49,0.3447542252340382,6.856461984594587,0.000540027623871564,0.03482464610549904,False
125,776,202,34900,"Napa, CA",Napa,CA,12308,2231,455,1363,2181,6165.000000000001,0.01410825038630007,8277.199999999999,455,0.5248588882596706,9.827631900232593,0.01410825038630007,0.0323693583243152,False
126,783,625,15220,"Brownwood, TX",Brownwood,TX,2947,274,109,491,160,1342.1,0.0030299891052700126,1877.8,109,0.42969200411323294,8.289539484624141,0.0030299891052700126,0.030680728997568303,False
127,794,791,19700,"Deming, NM",Deming,NM,1536,184,30,107,90,698.3000000000002,0.0015511724985132593,995.1999999999999,30,0.3633018703923093,7.5745584842024805,0.0015511724985132593,0.027693791474666024,False
128,802,679,27380,"Jacksonville, TX",Jacksonville,TX,2536,145,70,336,228,1137.1,0.002559101555743553,1579.6,70,0.39740054462439356,8.106514516255185,0.002559101555743553,0.026718803717322076,False
129,829,672,25820,"Hereford, TX",Hereford,TX,2615,225,146,171,164,1163.4,0.002619512982829143,1659.0,146,0.3683672950349898,8.10832229017324,0.002619512982829143,0.020876615640725592,False
130,876,418,37580,"Paris, TX",Paris,TX,5527,392,149,526,362,2453.4,0.005582659026190766,3473.0,149,0.3566040760273812,8.847503625923641,0.005582659026190766,0.008460619148286969,False
131,886,194,29700,"Laredo, TX",Laredo,TX,754,17644,618,2355,2090,6248.3,0.01429959152227838,7510.0,618,0.4146721291015568,10.063137370065666,0.01429959152227838,0.0058312920875817215,True
