cbsa_code,cbsa_name,state,is_candidate,demand_index,w_demand,score,rank
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",NY-NJ-PA,False,435371.1,0.5,0.7674117488316584,1
31100,"Los Angeles-Long Beach-Santa Ana, CA",CA,True,364492.3,0.5,0.6700515719457519,2
16980,"Chicago-Joliet-Naperville, IL-IN-WI",IL-IN-WI,False,337400.7,0.5,0.5628885370859313,3
19100,"Dallas-Fort Worth-Arlington, TX",TX,True,266468.5,0.5,0.4587556110103024,4
41860,"San Francisco-Oakland-Fremont, CA",CA,False,163292.5,0.5,0.34640708582025703,5
12060,"Atlanta-Sandy Springs-Marietta, GA",GA,False,183007.9,0.5,0.3307960510088642,6
14460,"Boston-Cambridge-Quincy, MA-NH",MA-NH,False,168960.80000000002,0.5,0.30178666741782534,7
26420,"Houston-Sugar Land-Baytown, TX",TX,True,176497.7,0.5,0.29858881126434905,8
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA-NJ-DE-MD,False,169456.6,0.5,0.293840090380975,9
19820,"Detroit-Warren-Livonia, MI",MI,False,166614.30000000002,0.5,0.2773098729758941,10
42660,"Seattle-Tacoma-Bellevue, WA",WA,False,125890.2,0.5,0.27411901496460883,11
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC-VA-MD-WV,False,178267.00000000003,0.5,0.24598737778827687,12
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",MN-WI,False,136601.4,0.5,0.24406646298130452,13
38060,"Phoenix-Mesa-Glendale, AZ",AZ,True,130437.0,0.5,0.22878794650162756,14
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",FL,False,120524.1,0.5,0.21489665670485864,15
41940,"San Jose-Sunnyvale-Santa Clara, CA",CA,False,81894.29999999999,0.5,0.18768493087183163,16
40140,"Riverside-San Bernardino-Ontario, CA",CA,True,100165.7,0.5,0.17690811374431026,17
41180,"St. Louis, MO-IL",MO-IL,False,86991.79999999999,0.5,0.16467913643542798,18
19740,"Denver-Aurora-Broomfield, CO",CO,False,81617.90000000001,0.5,0.16187451623369392,19
41740,"San Diego-Carlsbad-San Marcos, CA",CA,True,92770.6,0.5,0.15903608888086668,20
38900,"Portland-Vancouver-Hillsboro, OR-WA",OR-WA,False,81627.40000000001,0.5,0.15768516633945392,21
17140,"Cincinnati-Middletown, OH-KY-IN",OH-KY-IN,False,80527.8,0.5,0.1528863098944546,22
28140,"Kansas City, MO-KS",MO-KS,False,78883.0,0.5,0.1493336889982781,23
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",NC-SC,False,74465.3,0.5,0.14265652604412607,24
17460,"Cleveland-Elyria-Mentor, OH",OH,False,71124.59999999999,0.5,0.13928423016148261,25
26900,"Indianapolis-Carmel, IN",IN,False,70903.9,0.5,0.13791658592813805,26
18140,"Columbus, OH",OH,False,69324.1,0.5,0.1355872102926671,27
38300,"Pittsburgh, PA",PA,False,68003.4,0.5,0.133453688602628,28
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,False,61290.0,0.5,0.13022590281446084,29
45300,"Tampa-St. Petersburg-Clearwater, FL",FL,False,70573.6,0.5,0.1299093394046741,30
31140,"Louisville/Jefferson County, KY-IN",KY-IN,False,64548.00000000001,0.5,0.12645472750397346,31
12580,"Baltimore-Towson, MD",MD,False,71926.5,0.5,0.12618242615786418,32
33340,"Milwaukee-Waukesha-West Allis, WI",WI,False,63989.9,0.5,0.12367653330320966,33
41620,"Salt Lake City, UT",UT,False,52628.7,0.5,0.12081704792557255,34
12420,"Austin-Round Rock-San Marcos, TX",TX,True,58931.6,0.5,0.12073628966337424,35
36740,"Orlando-Kissimmee-Sanford, FL",FL,False,56547.100000000006,0.5,0.11868996134626568,36
41700,"San Antonio-New Braunfels, TX",TX,True,52905.2,0.5,0.1100975761523489,37
24380,"Grants, NM",NM,False,42.2,0.5,0.10435173005179883,38
29500,"Lamesa, TX",TX,False,82.0,0.5,0.10006694571957579,39
40900,"Sacramento--Arden-Arcade--Roseville, CA",CA,False,43376.3,0.5,0.09623715029230112,40
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",VA-NC,False,44328.9,0.5,0.09560984232747871,41
40760,"Ruidoso, NM",NM,False,129.2,0.5,0.09472304444668447,42
27260,"Jacksonville, FL",FL,False,39846.6,0.5,0.09413044633110379,43
13300,"Beeville, TX",TX,False,120.6,0.5,0.09280921463752656,44
18860,"Crescent City, CA",CA,False,151.0,0.5,0.09232590939458722,45
43500,"Silver City, NM",NM,False,120.9,0.5,0.0918121714156777,46
39300,"Providence-New Bedford-Fall River, RI-MA",RI-MA,False,40782.100000000006,0.5,0.09139942206856176,47
21580,"Espanola, NM",NM,False,111.5,0.5,0.09106949322029419,48
29820,"Las Vegas-Paradise, NV",NV,False,37772.59999999999,0.5,0.08992477496142268,49
25660,"Havre, MT",MT,False,110.5,0.5,0.08986234960418416,50
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",NY-NJ-PA,False,435371.1,0.6,0.8139293990653267,1
31100,"Los Angeles-Long Beach-Santa Ana, CA",CA,True,364492.3,0.6,0.7034793605367227,2
16980,"Chicago-Joliet-Naperville, IL-IN-WI",IL-IN-WI,False,337400.7,0.6,0.6053029842227674,3
19100,"Dallas-Fort Worth-Arlington, TX",TX,True,266468.5,0.6,0.4894102142495612,4
41860,"San Francisco-Oakland-Fremont, CA",CA,False,163292.5,0.6,0.35213208306343524,5
12060,"Atlanta-Sandy Springs-Marietta, GA",GA,False,183007.9,0.6,0.34870055901328084,6
